Latitude,Species,Habitat,Depth,TL(cm),d13C,C.N,Lipid.Extraction,ProvCode,ProvDescr,meanLH,sdLH,rangeLH
72.483,Somniosus microcephalus,Shelf,NA,270,-16.392,2.29,No,BPLR,Polar - Boreal Polar Province (POLR),-25.33176233,1.413396756,7.994179746
63.033,Somniosus microcephalus,Shelf,NA,445,-15.198,2.391,No,ARCT,Polar - Atlantic Arctic Province,-23.82402624,0.909960162,3.893273668
62.05,Somniosus microcephalus,Shelf,NA,442,-15.81,2.323,No,BPLR,Polar - Boreal Polar Province (POLR),-25.33176233,1.413396756,7.994179746
61.65,Somniosus microcephalus,Shelf,NA,427,-14.814,2.285,No,BPLR,Polar - Boreal Polar Province (POLR),-25.33176233,1.413396756,7.994179746
61.65,Somniosus microcephalus,Shelf,NA,467,-16.859,2.143,No,BPLR,Polar - Boreal Polar Province (POLR),-25.33176233,1.413396756,7.994179746
61.5,Somniosus microcephalus,Shelf,NA,440,-14.68,2.38,No,ARCT,Polar - Atlantic Arctic Province,-23.82402624,0.909960162,3.893273668
61.433,Somniosus microcephalus,Shelf,NA,473,-15.187,2.381,No,ARCT,Polar - Atlantic Arctic Province,-23.82402624,0.909960162,3.893273668
61.16667,Somniosus pacificus,Shelf,78,109,-24.278,9.60336825,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
60.535792,Etmopterus spinax,Slope,230,38,-18.48,3.673,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,46,-18.86,3.577,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,45,-18.54,3.529,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,41,-18.29,3.475,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,43,-18.28,3.455,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,51,-18.72,3.408,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,40,-18.36,3.404,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,37,-18.41,3.353,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,39,-18.6,3.341,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
60.535792,Etmopterus spinax,Slope,230,41,-18.68,3.333,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
